rank,name,group,gender,type
1,사사키 코코나,ME:I,Female,Solo
2,리오,NiziU,Female,Solo
3,윈터,에스파,Female,Solo
4,쯔위,TWICE,Female,Solo
5,이채연,,Female,Solo
6,채령,ITZY,Female,Solo
7,미나,TWICE,Female,Solo
8,마코,NiziU,Female,Solo
9,지우,NMIXX,Female,Solo
10,안유진,IVE,Female,Solo
11,유나,ITZY,Female,Solo
12,카사하라 모모나,ME:I,Female,Solo
13,파리타,BABYMONSTER,Female,Solo
14,아야카,NiziU,Female,Solo
15,오하영,에이핑크,Female,Solo
16,아이유,,Female,Solo
17,리사,BLACKPINK,Female,Solo
18,방지민,izna,Female,Solo
19,정연,TWICE,Female,Solo
20,세정,,Female,Solo
21,지수,BLACKPINK,Female,Solo
22,리쿠,NiziU,Female,Solo
23,장원영,IVE,Female,Solo
24,히카루,Kep1er,Female,Solo
25,타카미 아야네,ME:I,Female,Solo
26,미카,BINI,Female,Solo
27,예지,ITZY,Female,Solo
28,박초롱,에이핑크,Female,Solo
29,나연,TWICE,Female,Solo
30,마야,NiziU,Female,Solo
31,다현,TWICE,Female,Solo
32,마시로,메이딘,Female,Solo
33,사나,TWICE,Female,Solo
34,최유진,Kep1er,Female,Solo
35,카리나,에스파,Female,Solo
36,채영,TWICE,Female,Solo
37,서영은,Kep1er,Female,Solo
38,정은지,에이핑크,Female,Solo
39,김채현,Kep1er,Female,Solo
40,지유,드림캐쳐,Female,Solo
41,제니,BLACKPINK,Female,Solo
42,로제,BLACKPINK,Female,Solo
43,사쿠라이 미우,ME:I,Female,Solo
44,미이히,NiziU,Female,Solo
45,지효,TWICE,Female,Solo
46,엘라,MEOVV,Female,Solo
47,모모,TWICE,Female,Solo
48,김남주,에이핑크,Female,Solo
49,엘리시아,유니스,Female,Solo
50,리마,NiziU,Female,Solo
51,유주,여자친구,Female,Solo
52,사쿠라,르세라핌,Female,Solo
53,지젤,에스파,Female,Solo
54,마유카,NiziU,Female,Solo
55,태연,소녀시대,Female,Solo
56,시미즈 케이코,ME:I,Female,Solo
57,젤리 당카,유니스,Female,Solo
58,윤보미,에이핑크,Female,Solo
59,신비,"여자친구, VIVIZ",Female,Solo
60,에비하라 츠즈미,ME:I,Female,Solo
61,은하,"여자친구, VIVIZ",Female,Solo
62,윤아,소녀시대,Female,Solo
63,닝닝,에스파,Female,Solo
64,김채원,르세라핌,Female,Solo
65,알렉사,,Female,Solo
66,티파니 영,소녀시대,Female,Solo
67,이서,IVE,Female,Solo
68,백지헌,프로미스나인,Female,Solo
69,샨티,라필루스,Female,Solo
70,루카,BABYMONSTER,Female,Solo
71,레이,IVE,Female,Solo
72,희진,ARTMS,Female,Solo
73,스텔라,하츠투하츠,Female,Solo
74,지우,하츠투하츠,Female,Solo
75,켄모츠 나노,IS:SUE,Female,Solo
76,조이,레드벨벳,Female,Solo
77,방윤하,유니스,Female,Solo
78,설윤,NMIXX,Female,Solo
79,니나,NiziU,Female,Solo
80,나나,유니스,Female,Solo
81,아현,BABYMONSTER,Female,Solo
82,해원,NMIXX,Female,Solo
83,우기,아이들,Female,Solo
84,아사,BABYMONSTER,Female,Solo
85,이나경,프로미스나인,Female,Solo
86,사카구치 리노,IS:SUE,Female,Solo
87,이시이 란,ME:I,Female,Solo
88,카르멘,하츠투하츠,Female,Solo
89,수영,소녀시대,Female,Solo
90,카즈하,르세라핌,Female,Solo
91,렉시,GIRLSET,Female,Solo
92,카밀라,GIRLSET,Female,Solo
93,켄달,GIRLSET,Female,Solo
94,사바나,GIRLSET,Female,Solo
95,마이,izna,Female,Solo
96,홍은채,르세라핌,Female,Solo
97,이안,하츠투하츠,Female,Solo
98,말로이,BINI,Female,Solo
99,릴리,NMIXX,Female,Solo
100,소연,아이들,Female,Solo
101,리아,ITZY,Female,Solo
102,권은비,,Female,Solo
103,미유,메이딘,Female,Solo
104,히나,QWER,Female,Solo
105,샤오팅,Kep1er,Female,Solo
106,해린,뉴진스,Female,Solo
107,시연,드림캐쳐,Female,Solo
108,유지애,러블리즈,Female,Solo
109,휴닝바히에,Kep1er,Female,Solo
110,슬기,레드벨벳,Female,Solo
111,솔라,마마무,Female,Solo
112,이로하,아일릿,Female,Solo
113,슈화,아이들,Female,Solo
114,수담,SECRET NUMBER,Female,Solo
115,하니,뉴진스,Female,Solo
116,박시온,트리플에스,Female,Solo
117,서현,소녀시대,Female,Solo
118,아이린,레드벨벳,Female,Solo
119,에이나,하츠투하츠,Female,Solo
120,이채영,프로미스나인,Female,Solo
121,치키타,BABYMONSTER,Female,Solo
122,리즈,IVE,Female,Solo
123,카토 코코로,ME:I,Female,Solo
124,조안나,BINI,Female,Solo
125,수진,,Female,Solo
126,문수아,Billlie,Female,Solo
127,무라카미 리논,ME:I,Female,Solo
128,민니,아이들,Female,Solo
129,문별,마마무,Female,Solo
130,원희,아일릿,Female,Solo
131,예서,메이딘,Female,Solo
132,나린,MEOVV,Female,Solo
133,류진,ITZY,Female,Solo
134,하람,Billlie,Female,Solo
135,츠키,Billlie,Female,Solo
136,화사,마마무,Female,Solo
137,배이,NMIXX,Female,Solo
138,로라,BABYMONSTER,Female,Solo
139,수아,드림캐쳐,Female,Solo
140,허윤진,르세라핌,Female,Solo
