rank,name,sport,gender,type
1,손흥민,Soccer,Male,Sports
2,김연경,Volleyball,Female,Sports
3,페이커,Esports,Male,Sports
4,이강인,Soccer,Male,Sports
5,류현진,Baseball,Male,Sports
6,김민재,Soccer,Male,Sports
7,이정후,Baseball,Male,Sports
8,김연아,Figure Skating,Female,Sports
9,안세영,Badminton,Female,Sports
10,황희찬,Soccer,Male,Sports
11,박지성,Soccer,Male,Sports
12,이승엽,Baseball,Male,Sports
13,신유빈,Table Tennis,Female,Sports
14,추신수,Baseball,Male,Sports
15,김하성,Baseball,Male,Sports
16,우상혁,High Jump,Male,Sports
17,황선우,Swimming,Male,Sports
18,오상욱,Fencing,Male,Sports
19,안산,Archery,Female,Sports
20,박찬호,Baseball,Male,Sports
21,안정환,Soccer,Male,Sports
22,이대호,Baseball,Male,Sports
23,차범근,Soccer,Male,Sports
24,박태환,Swimming,Male,Sports
25,장미란,Weightlifting,Female,Sports
26,이상화,Speed Skating,Female,Sports
27,윤성빈,Skeleton,Male,Sports
28,김제덕,Archery,Male,Sports
29,구자철,Soccer,Male,Sports
30,기성용,Soccer,Male,Sports
31,이청용,Soccer,Male,Sports
32,조규성,Soccer,Male,Sports
33,설영우,Soccer,Male,Sports
34,백승호,Soccer,Male,Sports
35,이재성,Soccer,Male,Sports
36,황인범,Soccer,Male,Sports
37,정우영,Soccer,Male,Sports
38,김영권,Soccer,Male,Sports
39,김진수,Soccer,Male,Sports
40,조현우,Soccer,Male,Sports
41,양현종,Baseball,Male,Sports
42,김광현,Baseball,Male,Sports
43,강백호,Baseball,Male,Sports
44,문동주,Baseball,Male,Sports
45,노시환,Baseball,Male,Sports
46,구자욱,Baseball,Male,Sports
47,박병호,Baseball,Male,Sports
48,오승환,Baseball,Male,Sports
49,양의지,Baseball,Male,Sports
50,최정,Baseball,Male,Sports
51,김도영,Baseball,Male,Sports
52,손아섭,Baseball,Male,Sports
53,전준우,Baseball,Male,Sports
54,류중일,Baseball,Male,Sports
55,이종범,Baseball,Male,Sports
56,허재,Basketball,Male,Sports
57,서장훈,Basketball,Male,Sports
58,현주엽,Basketball,Male,Sports
59,허웅,Basketball,Male,Sports
60,허훈,Basketball,Male,Sports
61,김선형,Basketball,Male,Sports
62,최준용,Basketball,Male,Sports
63,박지수,Basketball,Female,Sports
64,김단비,Basketball,Female,Sports
65,김희진,Volleyball,Female,Sports
66,박정아,Volleyball,Female,Sports
67,이다영,Volleyball,Female,Sports
68,이재영,Volleyball,Female,Sports
69,문성민,Volleyball,Male,Sports
70,김요한,Volleyball,Male,Sports
71,한선수,Volleyball,Male,Sports
72,전웅태,Modern Pentathlon,Male,Sports
73,박상영,Fencing,Male,Sports
74,구본길,Fencing,Male,Sports
75,김준호,Fencing,Male,Sports
76,김우진,Archery,Male,Sports
77,임시현,Archery,Female,Sports
78,차준환,Figure Skating,Male,Sports
79,이준서,Short Track,Male,Sports
80,황대헌,Short Track,Male,Sports
81,최민정,Short Track,Female,Sports
82,김아랑,Short Track,Female,Sports
83,심석희,Short Track,Female,Sports
84,곽윤기,Short Track,Male,Sports
85,김동성,Short Track,Male,Sports
86,안현수,Short Track,Male,Sports
87,쇼메이커,Esports,Male,Sports
88,쵸비,Esports,Male,Sports
89,데프트,Esports,Male,Sports
90,케리아,Esports,Male,Sports
91,제우스,Esports,Male,Sports
92,오너,Esports,Male,Sports
93,구마유시,Esports,Male,Sports
94,임요환,Esports,Male,Sports
95,홍진호,Esports,Male,Sports
96,박세리,Golf,Female,Sports
97,박인비,Golf,Female,Sports
98,고진영,Golf,Female,Sports
99,최경주,Golf,Male,Sports
100,임성재,Golf,Male,Sports
